#Ethnicity	B*07	B*08	B*13	B*14	B*15	B*18	B*27	B*35	B*37	B*38	B*39	B*40	B*41	B*42	B*44	B*45	B*46	B*47	B*48	B*49	B*50	B*51	B*52	B*53	B*54	B*55	B*56	B*57	B*58	B*67	B*73	B*78	B*81	B*82	n
AfAm	62	29	6	31	90	33	13	89	3	1	8	21	6	51	59	27	0	2	0	25	6	17	8	91	0	3	0	24	63	0	1	3	15	1	788
API	5	2	3	0	24	0	2	4	0	2	0	16	0	0	2	0	6	0	0	0	0	5	6	0	1	1	3	0	3	1	0	0	0	0	86
Arab	1	10	0	3	12	1	1	11	0	2	2	3	1	2	7	0	0	0	0	1	15	14	6	1	0	1	0	1	8	0	0	0	1	0	104
EuAm	652	526	110	212	348	230	191	505	63	131	75	320	52	2	687	26	0	21	11	81	49	274	58	15	2	95	31	167	40	0	2	0	0	0	4976
European	57	49	11	22	30	17	21	24	3	12	4	38	1	0	60	4	0	1	0	4	11	25	3	0	0	5	4	14	3	0	0	0	0	1	424
Global	939	724	184	338	630	444	276	977	113	206	192	516	79	56	1025	70	19	35	20	178	122	541	140	125	3	134	47	283	160	1	8	3	18	2	8608
Greek	16	17	13	5	13	45	9	63	8	8	13	12	4	0	34	0	0	3	2	14	2	45	12	3	0	6	1	7	8	0	3	0	0	0	366
India	24	8	13	0	16	9	3	56	17	4	0	39	1	0	20	0	0	0	2	5	7	33	23	1	0	6	1	29	7	0	0	0	0	0	324
Italian	45	32	12	24	32	59	7	92	7	17	15	18	6	1	51	2	0	4	0	20	13	69	5	5	0	8	5	27	7	0	1	0	0	0	584
Mexican	9	7	2	4	12	3	4	45	0	3	56	10	3	0	5	4	0	0	4	4	0	13	8	3	0	1	0	5	3	0	0	0	0	0	208
Spanish	57	36	7	29	29	39	20	63	12	18	7	26	4	0	82	4	0	3	0	22	19	35	7	6	0	8	0	7	11	0	1	0	0	0	552
Thai	2	1	6	0	13	5	2	4	0	6	1	6	1	0	9	0	12	0	0	0	0	3	3	0	0	0	2	2	6	0	0	0	0	0	84
USA_Hispanic	9	7	1	8	11	3	3	21	0	2	11	7	0	0	9	3	1	1	1	2	0	8	1	0	0	0	0	0	1	0	0	0	2	0	112
