#country_of_birth	DPA1*01	DPA1*02	DPA1*03	DPA1*04	n
Afghanistan	59	57	0	0	116
Algeria	60	57	1	0	118
Angola	57	37	9	3	106
Antigua and Barbuda	32	26	4	0	62
Argentina	62	56	0	0	118
Australia	328	298	1	0	627
Austria	55	54	0	0	109
Bahrain	20	18	1	0	39
Bangladesh	187	164	0	13	364
Barbados	370	294	43	1	708
Belgium	51	47	0	0	98
Bosnia and Herzegovina	15	15	0	0	30
Brazil	166	149	2	3	320
Bulgaria	30	28	0	0	58
Cameroon	48	28	10	1	87
Canada	261	244	2	0	507
Caribbean	3192	2532	375	19	6118
Central African Republic	37	33	0	1	71
Channel Islands	37	35	0	0	72
Chile	41	39	1	0	81
China	512	476	0	9	997
Colombia	144	133	4	0	281
Congo	183	104	43	10	340
Croatia	19	19	0	0	38
Cyprus	129	111	4	0	244
Czech Republic	52	42	2	0	96
Denmark	68	66	1	0	135
Ecuador	17	17	0	0	34
Egypt	141	129	4	0	274
England	146522	135527	618	54	282721
Eritrea	41	17	5	0	63
Ethiopia	46	28	3	1	78
Fiji	23	21	0	1	45
Finland	32	32	0	0	64
France	377	356	3	0	736
Gambia	56	51	4	0	111
Germany	785	716	3	1	1505
Ghana	1446	1191	162	0	2799
Gibraltar	34	32	0	0	66
Greece	49	43	1	0	93
Hong Kong	712	638	0	38	1388
Hungary	39	34	0	0	73
India	2563	2399	1	16	4979
Indonesia	58	54	0	2	114
Iran	239	221	4	0	464
Iraq	124	108	2	0	234
Israel	34	25	2	0	61
Italy	340	311	0	0	651
Ivory Coast	53	45	4	0	102
Japan	299	289	0	2	590
Kenya	1080	985	24	3	2092
Kuwait	13	11	0	0	24
Latvia	15	12	0	0	27
Lebanon	28	24	0	0	52
Libya	62	51	3	0	116
Lithuania	18	13	0	0	31
Malawi	63	52	6	0	121
Malaysia	603	554	0	20	1177
Malta	126	113	0	0	239
Mauritius	311	273	8	7	599
Mexico	33	28	1	0	62
Morocco	61	51	1	0	113
Mozambique	30	26	1	0	57
Myanmar (Burma)	76	68	1	3	148
Nepal	107	37	0	70	214
Netherlands	175	159	2	1	337
New Zealand	304	272	2	2	580
Nigeria	1539	1175	224	1	2939
Northern Ireland	1086	1018	0	0	2104
Norway	38	37	0	0	75
Pakistan	958	895	0	15	1868
Palestine	21	18	3	0	42
Peru	38	37	0	1	76
Philippines	582	560	0	10	1152
Poland	222	201	1	0	424
Portugal	156	147	2	0	305
Republic of Ireland	1780	1623	3	0	3406
Romania	16	14	0	0	30
Russia	58	52	0	0	110
Scotland	14591	13539	16	1	28147
Serbia/Montenegro	17	17	0	0	34
Seychelles	44	35	4	3	86
Sierra Leone	334	271	37	0	642
Singapore	320	292	0	9	621
Slovakia	11	13	0	0	24
Somalia	104	59	4	0	167
South Africa	650	559	25	9	1243
Spain	173	169	0	0	342
Sri Lanka	519	457	0	11	987
Sudan	86	58	8	0	152
Sweden	70	66	0	0	136
Switzerland	60	58	0	0	118
Syria	8	7	0	0	15
Tanzania	255	225	7	2	489
Thailand	117	106	0	8	231
The Guianas	364	301	27	7	699
Turkey	69	57	1	0	127
Uganda	445	372	42	3	862
Ukraine	16	13	0	0	29
United Kingdom	174	157	2	0	333
USA	556	506	8	0	1070
Venezuela	39	37	0	0	76
Vietnam	103	91	0	4	198
Wales	8269	7524	14	0	15807
Yemen	61	54	1	1	117
Zambia	162	125	14	7	308
Zimbabwe	549	428	58	7	1042
