#country_of_birth	DQA1*01	DQA1*02	DQA1*03	DQA1*04	DQA1*05	DQA1*06	n
Afghanistan	76	31	26	2	71	0	206
Algeria	76	28	31	0	35	0	170
Angola	47	16	12	6	18	0	99
Antigua and Barbuda	35	8	5	5	9	1	63
Argentina	91	30	50	10	63	0	244
Australia	731	271	374	30	387	5	1798
Austria	167	48	69	18	76	1	379
Bahrain	40	5	11	1	12	0	69
Bangladesh	197	145	44	1	25	57	469
Barbados	227	53	58	93	82	2	515
Belgium	133	42	37	7	76	2	297
Bosnia and Herzegovina	28	5	8	3	32	0	76
Brazil	208	85	83	18	113	0	507
Bulgaria	68	10	10	2	34	0	124
Cameroon	52	9	13	13	12	0	99
Canada	579	207	261	29	323	2	1401
Caribbean	2441	579	426	518	911	25	4900
Central African Republic	33	11	8	7	20	0	79
Channel Islands	98	24	44	6	61	0	233
Chile	55	23	33	11	42	0	164
China	265	67	207	6	140	75	760
Colombia	174	57	101	31	89	0	452
Congo	159	25	28	26	54	0	292
Croatia	44	8	5	1	24	0	82
Cyprus	264	74	105	5	163	2	613
Czech Republic	104	32	40	3	67	0	246
Denmark	183	59	89	8	108	2	449
Ecuador	20	6	14	6	10	0	56
Egypt	231	61	111	9	174	3	589
England	291981	108800	150518	15381	167759	2073	736512
Eritrea	51	5	21	6	14	0	97
Ethiopia	49	34	21	6	30	0	140
Fiji	35	13	7	0	14	0	69
Finland	151	20	57	27	49	0	304
France	688	251	252	43	404	3	1641
Gambia	26	3	12	2	34	0	77
Germany	1721	567	737	107	972	6	4110
Ghana	772	161	140	290	295	0	1658
Gibraltar	59	28	21	4	38	0	150
Greece	111	20	19	3	84	4	241
Hong Kong	477	106	316	11	206	96	1212
Hungary	86	22	21	8	63	1	201
India	3609	1218	903	83	1585	121	7519
Indonesia	52	6	26	1	22	13	120
Iran	422	99	150	13	287	6	977
Iraq	200	65	85	7	260	1	618
Israel	56	21	21	2	58	2	160
Italy	602	228	165	35	499	6	1535
Ivory Coast	24	7	5	11	5	0	52
Japan	245	11	147	11	40	13	467
Kenya	1448	470	353	57	703	40	3071
Kuwait	23	12	11	1	9	1	57
Latvia	46	10	12	6	25	1	100
Lebanon	61	13	16	2	50	1	143
Libya	89	38	24	6	59	0	216
Lithuania	54	28	16	6	36	1	141
Malawi	104	25	26	6	53	3	217
Malaysia	519	103	295	25	241	77	1260
Malta	284	105	123	14	172	2	700
Mauritius	362	121	92	15	110	40	740
Mexico	55	11	40	16	27	1	150
Morocco	63	31	26	6	53	0	179
Mozambique	34	13	12	0	16	1	76
Myanmar (Burma)	89	48	36	0	31	17	221
Nepal	153	23	11	2	26	82	297
Netherlands	427	84	160	31	245	5	952
New Zealand	544	183	280	30	302	1	1340
Nigeria	1147	256	151	247	353	0	2154
Northern Ireland	2479	834	1170	83	1273	14	5853
Norway	109	31	55	7	60	1	263
Pakistan	1199	423	217	35	814	22	2710
Palestine	42	13	18	2	36	0	111
Peru	45	11	43	14	28	1	142
Philippines	349	22	113	0	56	75	615
Poland	531	165	141	37	330	2	1206
Portugal	257	93	97	19	142	3	611
Republic of Ireland	3790	1475	1698	158	2224	33	9378
Romania	56	7	17	6	41	0	127
Russia	131	44	45	11	77	0	308
Scotland	30533	11996	14862	1356	17414	219	76380
Serbia/Montenegro	58	6	11	1	30	0	106
Seychelles	33	7	17	3	19	4	83
Sierra Leone	152	32	61	60	108	0	413
Singapore	394	108	205	16	219	32	974
Slovakia	32	13	8	2	13	0	68
Somalia	118	13	20	19	50	1	221
South Africa	1121	332	467	86	556	29	2591
Spain	266	132	90	15	166	2	671
Sri Lanka	723	254	193	13	141	78	1402
Sudan	98	26	25	8	41	0	198
Sweden	191	45	68	22	95	0	421
Switzerland	151	47	47	13	72	1	331
Syria	19	8	9	0	22	0	58
Tanzania	363	117	114	21	171	12	798
Thailand	73	23	36	2	27	24	185
The Guianas	292	78	71	43	118	5	607
Turkey	148	25	48	7	98	3	329
Uganda	576	168	106	27	247	8	1132
Ukraine	38	20	16	6	36	2	118
United Kingdom	335	124	167	17	205	0	848
USA	1159	373	470	44	614	10	2670
Venezuela	39	19	20	11	33	0	122
Vietnam	56	8	30	0	17	28	139
Wales	15574	6080	9529	775	9956	86	42000
Yemen	93	27	23	6	50	0	199
Zambia	228	67	63	16	91	2	467
Zimbabwe	657	139	183	88	335	6	1408
